=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.21 15:17:41 =~=~=~=~=~=~=~=~=~=~=~=
 273 Time: 105362
Distance: 266.03 Time: 5807
Distance: 264.83 Time: 5837
Distance: 261.90 Time: 5867
Distance: 261.03 Time: 5898
Distance: 265.86 Time: 5927
Distance: 265.00 Time: 5958
Distance: 261.90 Time: 5988
Distance: 265.00 Time: 6019
Distance: 261.90 Time: 6048
Distance: 257.76 Time: 6078
Distance: 260.86 Time: 6109
Distance: 261.72 Time: 6138
Distance: 265.00 Time: 6169
Distance: 253.10 Time: 6199
Distance: 251.90 Time: 6230
Distance: 261.55 Time: 6259
Distance: 256.21 Time: 6290
Distance: 257.07 Time: 6320
Distance: 260.34 Time: 6350
Distance: 252.24 Time: 6380
Distance: 256.90 Time: 6410
Distance: 255.69 Time: 6440
Distance: 252.76 Time: 6470
Distance: 251.55 Time: 6501
Distance: 252.59 Time: 6531
Distance: 251.55 Time: 6561
Distance: 252.07 Time: 6591
Distance: 251.03 Time: 6622
Distance: 252.07 Time: 6651
Distance: 256.21 Time: 6682
Distance: 255.34 Time: 6712
Distance: 256.03 Time: 6742
Distance: 251.03 Time: 6772
Distance: 265.00 Time: 6802
Distance: 263.79 Time: 6833
Distance: 256.21 Time: 6862
Distance: 263.97 Time: 6893
Distance: 256.21 Time: 6923
Distance: 259.83 Time: 6953
Distance: 265.17 Time: 6983
Distance: 259.83 Time: 7014
Distance: 259.66 Time: 7044
Distance: 256.55 Time: 7073
Distance: 259.83 Time: 7104
Distance: 256.72 Time: 7134
Distance: 255.69 Time: 7164
Distance: 256.72 Time: 7194
Distance: 264.48 Time: 7225
Distance: 261.38 Time: 7255
Distance: 256.21 Time: 7285
Distance: 261.38 Time: 7315
Distance: 261.21 Time: 7345
Distance: 260.34 Time: 7375
Distance: 265.86 Time: 7405
Distance: 269.14 Time: 7436
Distance: 265.86 Time: 7465
Distance: 265.34 Time: 7496
Distance: 266.03 Time: 7526
Distance: 264.83 Time: 7557
Distance: 266.38 Time: 7586
Distance: 260.86 Time: 7617
Distance: 257.59 Time: 7647
Distance: 269.48 Time: 7677
Distance: 265.34 Time: 7707
Distance: 270.52 Time: 7737
Distance: 265.34 Time: 7768
Distance: 261.90 Time: 7797
Distance: 260.69 Time: 7828
Distance: 257.76 Time: 7858
Distance: 261.03 Time: 7888
Distance: 257.59 Time: 7918
Distance: 260.86 Time: 7949
Distance: 253.10 Time: 7979
Distance: 253.10 Time: 8008
Distance: 252.07 Time: 8039
Distance: 252.93 Time: 8069
Distance: 252.07 Time: 8099
Distance: 261.38 Time: 8129
Distance: 255.69 Time: 8160
Distance: 256.72 Time: 8189
Distance: 255.69 Time: 8220
Distance: 256.72 Time: 8250
Distance: 252.59 Time: 8280
Distance: 252.24 Time: 8310
Distance: 252.59 Time: 8340
Distance: 259.83 Time: 8371
Distance: 252.07 Time: 8400
Distance: 251.03 Time: 8431
Distance: 252.07 Time: 8461
Distance: 255.17 Time: 8492
Distance: 260.86 Time: 8521
Distance: 251.03 Time: 8552
Distance: 260.86 Time: 8582
Distance: 263.97 Time: 8612
Distance: 255.17 Time: 8642
Distance: 256.21 Time: 8672
Distance: 259.66 Time: 8702
Distance: 260.69 Time: 8732
Distance: 259.83 Time: 8763
Distance: 256.72 Time: 8793
Distance: 255.69 Time: 8823
Distance: 256.55 Time: 8853
Distance: 255.69 Time: 8884
Distance: 256.72 Time: 8913
Distance: 256.72 Time: 8943
Distance: 255.69 Time: 8974
Distance: 261.38 Time: 9004
Distance: 256.21 Time: 9034
Distance: 257.24 Time: 9064
Distance: 260.52 Time: 9095
Distance: 270.17 Time: 9124
Distance: 269.14 Time: 9155
Distance: 274.31 Time: 9185
Distance: 265.00 Time: 9216
Distance: 278.97 Time: 9245
Distance: 261.90 Time: 9276
Distance: 260.86 Time: 9306
Distance: 270.34 Time: 9335
Distance: 265.00 Time: 9366
Distance: 266.21 Time: 9396
Distance: 269.48 Time: 9426
Distance: 266.03 Time: 9456
Distance: 265.00 Time: 9487
Distance: 270.69 Time: 9517
Distance: 269.48 Time: 9547
Distance: 261.72 Time: 9577
Distance: 261.90 Time: 9607
Distance: 265.34 Time: 9637
Distance: 261.72 Time: 9667
Distance: 256.55 Time: 9698
Distance: 257.59 Time: 9728
Distance: 260.86 Time: 9758
Distance: 253.10 Time: 9788
Distance: 256.03 Time: 9819
Distance: 253.10 Time: 9848
Distance: 260.34 Time: 9879
Distance: 261.38 Time: 9909
Distance: 261.21 Time: 9938
Distance: 260.34 Time: 9969
Distance: 256.72 Time: 9999
Distance: 251.72 Time: 10030
Distance: 252.41 Time: 10060
Distance: 251.55 Time: 10092
Distance: 252.41 Time: 10123
Distance: 255.52 Time: 10155
Distance: 252.07 Time: 10185
Distance: 255.17 Time: 10217
Distance: 252.07 Time: 10248
